libehca,unmapped,
docbook5-schemas,SBR-Lowvolume,,
docbook5-style-xsl,SBR-Lowvolume,,
dos2unix,SBR-Shells,,
dosfstools,SBR-Filesystem,SBR-Shells,
dovecot,SBR-Services,,
doxygen,SBR-Shells,SBR-Tools,
dropwatch,SBR-Kernel,SBR-Shells,
dstat,SBR-Services,,
dtach,SBR-Shells,,
dump,SBR-Filesystem,SBR-Shells,
dumpet,SBR-Storage,SBR-Shells,
dvd+rw-tools,SBR-Storage,SBR-Shells,
e2fsprogs,SBR-Filesystem,,
ebtables,(Mapped) SBR-Desktop,(Mapped) SBR-Tools
ecj,SBR-Tools,,
eclipse-birt,SBR-Desktop,SBR-Middleware,
eclipse-callgraph,SBR-Desktop,SBR-Middleware,
eclipse-cdt,SBR-Desktop,SBR-Middleware,
eclipse-changelog,SBR-Desktop,SBR-Middleware,
eclipse-dtp,SBR-Desktop,SBR-Middleware,
eclipse-emf,SBR-Desktop,SBR-Middleware,
eclipse-gef,SBR-Desktop,SBR-Middleware,
eclipse-linuxprofilingframework,SBR-Desktop,SBR-Middleware,
eclipse-mylyn,SBR-Desktop,SBR-Middleware,
eclipse-nls,SBR-Desktop,SBR-Middleware,
eclipse-oprofile,SBR-Desktop,SBR-Middleware,
eclipse-rpm-editor,SBR-Desktop,SBR-Middleware,
eclipse-rse,SBR-Desktop,SBR-Middleware,
eclipse-subclipse,SBR-Desktop,SBR-Middleware,
eclipse-valgrind,SBR-Desktop,SBR-Middleware,
ed,SBR-Shells,,
edac-utils,SBR-Kernel,,
efax,SBR-Services,,
efibootmgr,SBR-Lowvolume,,
eggdbus,SBR-Desktop,,
eject,SBR-Shells,,
ekiga,SBR-Desktop,,
elfutils,SBR-Tools,,
elinks,SBR-Shells,,
enscript,SBR-Services,,
environment-modules,SBR-Shells,,
esc,SBR-Idm,,
ethtool,SBR-Shells,,
evince,SBR-Desktop,,
evolution,SBR-Desktop,,
evolution-data-server,SBR-Desktop,,
evolution-exchange,SBR-Desktop,,
evolution-mapi,SBR-Desktop,,
exempi,(Mapped) SBR-Desktop,(Mapped) SBR-Tools
exiv2,SBR-Shells,,
expat,SBR-Services,,
expect,SBR-Shells,,
farsight2,SBR-Desktop,,
fcoe-utils,SBR-Shells,,
febootstrap,(Mapped) SBR-Shells,(Mapped) SBR-Desktop
fence-agents,SBR-Clusterha,,
fence-virt,SBR-Clusterha,,
fetchmail,SBR-Services,,
file,SBR-Shells,,
file-roller,SBR-Desktop,,
filesystem,SBR-Shells,,
findutils,SBR-Shells,,
finger,SBR-Idm,,
fipscheck,SBR-Services,,
firefox,SBR-Desktop,,
firstaidkit,SBR-Shells,,
firstboot,SBR-Anaconda,,
flac,SBR-Desktop,,
flex,SBR-Tools,,
flute,SBR-Tools,,
foghorn,SBR-Desktop,SBR-Services,
fontconfig,SBR-Desktop,,
fprintd,SBR-Services,,
ftp,SBR-Shells,,
fuse,SBR-Filesystem,SBR-Kernel,
gawk,SBR-Shells,,
gedit-plugins,SBR-Desktop,,
crash-trace-command,(Mapped) SBR-Shells,(Mapped) SBR-Tools
dvgrab,(Mapped) SBR-Desktop,(Mapped) SBR-Shells
stem-gnome-theme,SBR-Desktop,,
xlive-texmf,SBR-Desktop,,
xlive-texmf-errata,SBR-Desktop,,
ilead-ssh2,SBR-Tools,,
data,SBR-Shells,,
ev,SBR-Services,,
bitmap-fonts,unmapped,
un-core-fonts,SBR-Desktop,,
vim,SBR-Shells,,
xmlrpc3,SBR-Tools,,
xorg-x11-drv-geode,SBR-Desktop,,
xorg-x11-drv-neomagic,SBR-Desktop,,
xorg-x11-fonts,SBR-Desktop,,
automake15,unmapped,
automake16,unmapped,
be2net,unmapped,
be2net-kmod,unmapped,
bnx2,unmapped,
gcc-libraries,unmapped,
jakarta-commons-digester,unmapped,
java-1.4.2-ibm-sap,unmapped,
libatomic_ops,unmapped,
libgnomeuimm26,unmapped,
libibverbs-rocee,unmapped,
libmlx4-rocee,unmapped,
mingw32-iconv,unmapped,
mingw32-runtime,unmapped,
mingw32-w32api,unmapped,
mlx4_core,unmapped,
perl-Makefile,unmapped,
ppc64-diag,unmapped,
preupgrade-assistant,unmapped,
preupgrade-assistant-contents,unmapped,
python-argparse,unmapped,
ras-utils,unmapped,
redhat-support-lib,unmapped,
rhel-client-i386-ec2-starter,unmapped,
rhel-client-x86_64-ec2-starter,unmapped,
rhel-computenode-x86_64-ec2-starter,unmapped,
rhel-guest-image,unmapped,
rhel-server-i386-p2v,unmapped,
rhel-server-ppc64-ec2-starter,unmapped,
rhel-server-s390x-ec2-starter,unmapped,
rhel-workstation-i386-ec2-starter,unmapped,
rhel-workstation-i386-live,unmapped,
rhel-workstation-x86_64-ec2-starter,unmapped,
rhel-workstation-x86_64-live,unmapped,
rhev-hypervisor,unmapped,
ruby-dbus,unmapped,
rubygem-virt-p2v,unmapped,
sapconf,unmapped,
snd_core,unmapped,
snd_hda,unmapped,
snd-hda,unmapped,
spice-win,unmapped,
tetex-tex4ht,unmapped,
tg3,unmapped,
thermostat1,unmapped,
vios-proxy,unmapped,
virt-p2v,unmapped,
xdoclet,unmapped,
xdvipdfmx,unmapped,
xjavadoc,unmapped,
cmpi-bindings,unmapped,
fake-build-provides,unmapped,
fedfs-utils,unmapped,
gnome-shell-extensions,unmapped,
gnu-free-fonts,unmapped,
goland,unmapped,
golang-github-gorilla-context,unmapped,
golang-github-gorilla-mux,unmapped,
golang-github-kr-pty,unmapped,
golang-github-syndtr-gocapability,unmapped,
golang-googlecode-net,unmapped,
golang-googlecode-sqlite,unmapped,
google-noto-fonts,unmapped,
ipxe,unmapped,
jing-trang,unmapped,
libmlx5,unmapped,
libzfcphbaapi,unmapped,
maven2,unmapped,
mdds,unmapped,
mingw-binutils,unmapped,
brasero,SBR-Desktop,,
dbus-qt,SBR-Services,,
eog,SBR-Desktop,,
gnome-mag,SBR-Desktop,,
redhat-release-computenode,unmapped,
smc-fonts,unmapped,
zaf,unmapped,
foomatic,SBR-Services,,
foomatic-db,SBR-Services,,
fop,SBR-Services,SBR-Tools,
freeipmi,SBR-Services,,
freeradius,SBR-Services,,
freetype,SBR-Desktop,,
gamin,SBR-Desktop,,
gc,SBR-Tools,,
gcalctool,SBR-Desktop,,
gcc,SBR-Tools,,
gconf-editor,SBR-Desktop,,
gconfmm26,SBR-Desktop,,
gd,SBR-Desktop,,
gdb,SBR-Tools,,
gdbm,SBR-Services,,
gdm,SBR-Desktop,,
gedit,SBR-Desktop,,
gegl,SBR-Desktop,,
geoclue,SBR-Desktop,,
gettext,SBR-Shells,,
ggz-base-libs,(Mapped) SBR-Desktop,(Mapped) SBR-Tools
ghostscript,SBR-Services,,
ghostscript-fonts,SBR-Services,,
giflib,SBR-Desktop,,
gimp,SBR-Desktop,,
gimp-data-extras,SBR-Desktop,,
gimp-help,SBR-Desktop,,
git,SBR-Tools,,
glade3,SBR-Desktop,,
glib2,SBR-Desktop,,
glibc,SBR-Tools,,
glibmm24,SBR-Desktop,,
gmp,SBR-Services,,
gnome-applets,SBR-Desktop,,
gnome-backgrounds,SBR-Desktop,,
gnome-bluetooth,SBR-Desktop,,
gnome-common,SBR-Desktop,,
gnome-desktop,SBR-Desktop,,
gnome-devel-docs,SBR-Desktop,,
gnome-disk-utility,SBR-Desktop,,
gnome-doc-utils,SBR-Desktop,,
gnome-games,SBR-Desktop,,
gnome-icon-theme,SBR-Desktop,,
gnome-keyring,SBR-Desktop,,
gnome-media,SBR-Desktop,,
gnome-menus,SBR-Desktop,,
gnome-packagekit,SBR-Desktop,,
gnome-panel,SBR-Desktop,,
gnome-pilot,SBR-Desktop,,
gnome-pilot-conduits,SBR-Desktop,,
gnome-power-manager,SBR-Desktop,,
gnome-python2,SBR-Desktop,,
gnome-python2-desktop,SBR-Desktop,,
gnome-python2-extras,SBR-Desktop,,
gnome-screensaver,SBR-Desktop,,
gnome-session,SBR-Desktop,,
gnome-system-monitor,SBR-Desktop,,
gnome-terminal,SBR-Desktop,,
gnome-themes,SBR-Desktop,,
gnome-user-docs,SBR-Desktop,,
gnome-user-share,SBR-Desktop,,
gnome-utils,SBR-Desktop,,
gnome-vfs2,SBR-Desktop,,
gnote,SBR-Desktop,,
gnupg2,SBR-Shells,,
gnuplot,SBR-Shells,,
gnutls,SBR-Services,,
gok,SBR-Desktop,,
gpgme,SBR-Shells,,
gpm,SBR-Services,,
grep,SBR-Shells,,
groff,SBR-Shells,,
grub,SBR-Shells,,
grubby,SBR-Shells,,
gsl,SBR-Services,,
gsm,SBR-Services,,
gssdp,SBR-Services,,
gstreamer,SBR-Desktop,,
gstreamer-plugins-bad-free,SBR-Desktop,,
gstreamer-plugins-base,SBR-Desktop,,
gstreamer-plugins-good,SBR-Desktop,,
